author,title,year,id
Montgomery,"Anne of Green Gables",1908,45
Montgomery,"Anne of Avonlea",1909,47
Montgomery,"Anne of the Island",1915,51
Montgomery,"Anne's House of Dreams",1917,544
Montgomery,"Rilla of Ingleside",1921,3796
Montgomery,"Rainbow Valley",1919,5343
Nesbit,"The Enchanted Castle",1907,3536
Nesbit,"The Railway Children",1906,1874
Nesbit,"The Story of the Treasure Seekers",1899,770
Nesbit,"Five Children and It",1902,17314
Nesbit,"The Phoenix and the Carpet",1904,836
Nesbit,"The Story of the Amulet",1906,837